Set Number,Task Number,Evaluation Set/Reflection Stage,Evaluation Set/Reflection Lay,Evaluation Set/input,Full Text Link
1,1,Анализ ситуации,Чистое мышление,"Конечно, для восприятия информации необходим четкий запрос. Не думаю, что я в полной мере обладаю таким запросом на модераторскую деятельность. Меня привлекает лидерская позиция в групповой работе, которую я планирую развивать в дальнейшем. У меня была гипотеза, что модератор это своеобразный лидер команды, которая родилась из личного опыта, несмотря на то, что окружение в виде старших коллег говорило иначе. Я чувствовал в своей работе серьезное влияние модератора и решил раскрыть род этого влияния, для получения более полной картины происходящего в групповом проектировании.",https://docs.google.com/document/d/1k9Wd6VDi_NS96qnHRVuOvrNs94ctWr-3/edit?usp=share_link&ouid=114486108545068717063&rtpof=true&sd=true 
,2,Анализ ситуации,Мыследеятельность,"Как я уже говорил, единственная выделяемая цель, связанная с модераторской деятельностью – это развитие лидерской позиции в групповой работе. Так как модератор выполняет функционал, который полностью сама на себя может взять проектная группа, то и раскрытие этого функционала через инструменты работы с мышлением, коммуникацией и деятельностью будут полезны для каждого члена команды. В особенности они должны быть полезны лидеру команды. Своевременное знакомство с инструментарием и функционалом модератора должно положительно повлиять на взаимодействие внутри групповой работы, которую ведет лидер команды.",
,3,Анализ ситуации,Мыследеятельность,"Раньше я понимал игротехника как посланника точки зрения заказчика деятельности, но теперь к этому прибавился особый функционал, который призван помочь добится результата в рамках такой точки зрения.
Я не знал о схеме, через которую игротехник работает с группой и исходя из которой игротехник подбирает инструменты.",
,4,Анализ ситуации,Чистое мышление,"С одной стороны нам говорят, что мы являемся членами команды в том смысле, что от нас зависит продвижение команды, а с другой мы не должны заходить слишком глубоко, чтоб не передавать наше личное понимание, к которому они не готовы. Из этого я делаю вывод, что модератор в представленном виде является старшим товарищем, помогающем развиваться команде в образовательном смысле. И это его основная глобальная задача.
А ключевым декларативные принципы и понятия для игротехника являются работа с доской мышления, с рефлексией участников группового процесса, с пониманием и передачей информации.",
,5,Осмысление результатов,Коммуникация,"Я не могу сказать, что освоил новые инструменты, но укрепил ранее полученные инструменты и техники. Я знал, что мышление происходит на доске (мысленной или физической) так что я с успехом попрактиковался в передаче этого понимания. Удержание внимания команды, корректировка коммуникации, наводящие вопросы. Все это отлично работает, но у меня не получилось погрузится в работу с мышлением как таковым.",
,6,Проектирование,Чистое мышление,"Я не воспринял инструменты работы с группой на уровне чистого мышления. Теперь у меня есть гипотеза, что основная необходимая функция игротехника лежит в этой плоскости, так как остальные легко делегируются. Если я в дальнейшем буду раскрывать для себя позицию модератора, то буду целенаправленно обращать внимание именно туда.
Мне в моем опыте не хватило примеров влияния работы игротехника вне образовательного процесса. Я не понял как было построено взаимодействие групп без модератора и каким оно стало с ним.",
2,7,Анализ ситуации,Мыследеятельность,"На данном этапе мне сложно определить, занимает ли позиция модератора какое то обособленное место в моем дальнейшем самоопределении. То что полученный опыт и умения будут использоваться мной в дальнейшей деятельности не связанной с модераторской - точно. То, что периодически я буду занимать модераторскую(или около модераторскую) позицию при ведении групп - тоже точно. Но как полноценного модератора на постоянной основе я себя пока что не вижу.",02_Set.pdf
,8,Осмысление результатов,Мыследеятельность,"Касательно целей. Заходя на этот курс я ставил для себя целью разобраться в основах модераторской деятельности, углубиться в методологически правильные способы ведения группы(относительно тех, что я использовал при ведении группы в прошлые разы) и получить больше практики. Эти цели определенно выполнены(по крайней мере в какой то степени). Если говорить о вещах не касающихся конкретно этого модуля, то понимание процесса работы с группой и способов взаимодействия с ними с позиции модератора дало прирост в эффективности командной работы. А еще + бесценный опыт в схематизации.",
,9,Осмысление результатов,Коммуникация,"Больших изменений в собственном понимании позиции модератора не произошло. На курсе я по большей части укрепил некоторые свои представления. Особенно помогла следующая схема:
Кроме того, как я уже говорил раньше, у меня получилось развить владение некоторыми инструментами, область действия которых очевидно выходит за пределы модераторской деятельности. Наиболее яркий пример такого инструмента - схематизация. В ходе курса у меня получилось лучше понять некоторые “правила” составления понятных схем и роли этих схем в различных процессах командной деятельности.",
,10,Проектирование,Мыследеятельность,"Развивать те инструменты и понятия, которые я получил на курсе я планирую в первую очередь используя их в более повседневных процессах, в том числе в командной работе вне этого курса. Появился интерес в углублении в труды Щедровицкого, сейчас нахожусь в процессе определения с чего начать.",
3,11,Проектирование,Мыследеятельность,"Проще всего сказать, что занимает какое-то место. Сейчас моя профессиональная траектория не то чтобы похожа на траекторию, в том смысле, что у меня нет виденья, где, кем и как бы мне хотелась работать после ВУЗа, через 5 или 10 лет. Тем не менее, в этой профессиональной траектории уже имеет место стажировка в Сколково. И как запасной аэродром после окончания Школы Икс я могу использовать эту “организацию”. Хотя сейчас я начинаю более четко видеть свои пробелы в хард-навыках в отношении всего “инженерного” и у меня появилось стремление их заполнять.",https://docs.google.com/document/d/1BdSiEbCie9PgLBH_xSunErHZfvplL_tn/edit?usp=share_link&ouid=114486108545068717063&rtpof=true&sd=true
,12,Осмысление результатов,Мыследеятельность,"Какую роль играет этот модуль в достижении Ваших целей?
Да, я ставила определенные цели на модуль. И, конечно, эти цели входили в более масштабные. Например, выполнив цели на модуль, я хотела повысить свой грейд как модератора в Сколково. Однако, под конец модуля (пока по неизвестным мне причинам) произошла некоторая расфокусировка и теперь я не могу сконцентрироваться на целях, к достижению которых мне нужно стремиться (кажется, я даже их не вспомню сейчас). Повысила ли? Узнаю на следующих программах. И порой хочется “отдохнуть” от вечного целеполагания. Иногда кажется, что это часть хасл-культуры (культуры продуктивности) и цели гонят людей куда-то. Вообще, на протяжении модуля у меня появлялись мысли о том, как идея прогресса, неолиберализм и СМД-методология связаны. Но должного развития они не получили.",
